open_time,open,high,low,close,volume,close_time
2025-10-12T21:15:00Z,115361.12000000,115403.14000000,115167.03000000,115255.50000000,160.38053000,2025-10-12T21:19:59Z
2025-10-12T21:20:00Z,115255.49000000,115271.99000000,115017.58000000,115020.44000000,113.49780000,2025-10-12T21:24:59Z
2025-10-12T21:25:00Z,115020.44000000,115071.76000000,114700.00000000,114953.14000000,121.55646000,2025-10-12T21:29:59Z
2025-10-12T21:30:00Z,114953.15000000,114957.47000000,114217.75000000,114496.99000000,226.82599000,2025-10-12T21:34:59Z
2025-10-12T21:35:00Z,114496.99000000,114760.75000000,114352.63000000,114605.40000000,154.49164000,2025-10-12T21:39:59Z
2025-10-12T21:40:00Z,114605.41000000,114668.24000000,114530.22000000,114622.81000000,49.84241000,2025-10-12T21:44:59Z
2025-10-12T21:45:00Z,114622.82000000,114741.43000000,114617.02000000,114685.19000000,56.69862000,2025-10-12T21:49:59Z
2025-10-12T21:50:00Z,114685.19000000,114710.96000000,114503.24000000,114657.54000000,68.16261000,2025-10-12T21:54:59Z
2025-10-12T21:55:00Z,114657.55000000,114950.71000000,114657.55000000,114882.06000000,103.21381000,2025-10-12T21:59:59Z
2025-10-12T22:00:00Z,114882.06000000,115770.00000000,114882.06000000,115238.34000000,401.59859000,2025-10-12T22:04:59Z
2025-10-12T22:05:00Z,115238.34000000,115515.84000000,115080.44000000,115156.61000000,192.35176000,2025-10-12T22:09:59Z
2025-10-12T22:10:00Z,115156.60000000,115413.96000000,115057.63000000,115374.57000000,118.74481000,2025-10-12T22:14:59Z
2025-10-12T22:15:00Z,115374.58000000,115600.19000000,115319.05000000,115329.71000000,228.59166000,2025-10-12T22:19:59Z
2025-10-12T22:20:00Z,115329.72000000,115607.06000000,115302.65000000,115316.34000000,156.99042000,2025-10-12T22:24:59Z
2025-10-12T22:25:00Z,115316.33000000,115394.39000000,115176.35000000,115233.74000000,117.30649000,2025-10-12T22:29:59Z
2025-10-12T22:30:00Z,115233.75000000,115391.98000000,115141.25000000,115179.17000000,108.48987000,2025-10-12T22:34:59Z
