open_time,open,high,low,close,volume,close_time
2025-10-26T22:45:00Z,114536.87000000,114655.91000000,114536.87000000,114655.90000000,84.11441000,2025-10-26T22:49:59Z
2025-10-26T22:50:00Z,114655.90000000,114733.43000000,114621.90000000,114724.58000000,65.63534000,2025-10-26T22:54:59Z
2025-10-26T22:55:00Z,114724.59000000,114789.11000000,114587.20000000,114681.33000000,86.00706000,2025-10-26T22:59:59Z
2025-10-26T23:00:00Z,114681.34000000,114966.15000000,114663.64000000,114804.53000000,191.54856000,2025-10-26T23:04:59Z
2025-10-26T23:05:00Z,114804.54000000,114804.54000000,114556.82000000,114579.46000000,64.02113000,2025-10-26T23:09:59Z
2025-10-26T23:10:00Z,114579.46000000,114579.46000000,114416.78000000,114475.99000000,49.49503000,2025-10-26T23:14:59Z
2025-10-26T23:15:00Z,114476.00000000,114506.35000000,114405.33000000,114478.17000000,37.03602000,2025-10-26T23:19:59Z
2025-10-26T23:20:00Z,114478.17000000,114578.45000000,114455.16000000,114540.00000000,32.97824000,2025-10-26T23:24:59Z
2025-10-26T23:25:00Z,114540.01000000,114571.23000000,114385.13000000,114385.13000000,45.52088000,2025-10-26T23:29:59Z
2025-10-26T23:30:00Z,114385.13000000,114716.82000000,114385.13000000,114656.62000000,43.11575000,2025-10-26T23:34:59Z
2025-10-26T23:35:00Z,114656.62000000,114714.18000000,114580.54000000,114642.00000000,30.06354000,2025-10-26T23:39:59Z
2025-10-26T23:40:00Z,114642.00000000,114680.00000000,114582.32000000,114633.77000000,45.58291000,2025-10-26T23:44:59Z
2025-10-26T23:45:00Z,114633.77000000,114720.99000000,114522.44000000,114537.38000000,40.59216000,2025-10-26T23:49:59Z
2025-10-26T23:50:00Z,114537.38000000,114589.40000000,114457.34000000,114457.52000000,36.32972000,2025-10-26T23:54:59Z
2025-10-26T23:55:00Z,114457.51000000,114559.41000000,114421.82000000,114559.40000000,54.67293000,2025-10-26T23:59:59Z
2025-10-27T00:00:00Z,114559.41000000,114753.52000000,114362.26000000,114753.52000000,133.05508000,2025-10-27T00:04:59Z
2025-10-27T00:05:00Z,114753.51000000,114860.45000000,114665.10000000,114841.46000000,99.57609000,2025-10-27T00:09:59Z
2025-10-27T00:10:00Z,114841.45000000,114905.00000000,114742.62000000,114872.12000000,138.70560000,2025-10-27T00:14:59Z
2025-10-27T00:15:00Z,114872.13000000,114972.00000000,114872.12000000,114970.57000000,93.11129000,2025-10-27T00:19:59Z
2025-10-27T00:20:00Z,114970.58000000,114976.37000000,114767.86000000,114801.81000000,129.04228000,2025-10-27T00:24:59Z
2025-10-27T00:25:00Z,114801.80000000,114893.97000000,114763.51000000,114867.66000000,59.06968000,2025-10-27T00:29:59Z
2025-10-27T00:30:00Z,114867.67000000,114983.50000000,114852.73000000,114977.00000000,113.93638000,2025-10-27T00:34:59Z
2025-10-27T00:35:00Z,114977.00000000,115176.47000000,114886.77000000,114886.77000000,145.06187000,2025-10-27T00:39:59Z
2025-10-27T00:40:00Z,114886.77000000,114919.97000000,114797.66000000,114902.96000000,53.97373000,2025-10-27T00:44:59Z
2025-10-27T00:45:00Z,114902.96000000,114902.96000000,114666.66000000,114717.57000000,98.76989000,2025-10-27T00:49:59Z
2025-10-27T00:50:00Z,114717.58000000,114836.86000000,114663.65000000,114833.39000000,42.72187000,2025-10-27T00:54:59Z
2025-10-27T00:55:00Z,114833.40000000,114867.44000000,114731.48000000,114767.29000000,35.24882000,2025-10-27T00:59:59Z
2025-10-27T01:00:00Z,114767.28000000,114923.49000000,114710.92000000,114839.55000000,73.75298000,2025-10-27T01:04:59Z
2025-10-27T01:05:00Z,114839.54000000,114894.16000000,114797.49000000,114814.13000000,47.07728000,2025-10-27T01:09:59Z
2025-10-27T01:10:00Z,114814.13000000,115018.78000000,114814.13000000,115000.55000000,56.70607000,2025-10-27T01:14:59Z
2025-10-27T01:15:00Z,115000.55000000,115080.62000000,114890.01000000,114979.43000000,72.42963000,2025-10-27T01:19:59Z
2025-10-27T01:20:00Z,114979.44000000,115228.21000000,114979.43000000,115149.99000000,90.02859000,2025-10-27T01:24:59Z
2025-10-27T01:25:00Z,115150.00000000,115200.00000000,115124.63000000,115149.99000000,36.69466000,2025-10-27T01:29:59Z
2025-10-27T01:30:00Z,115150.00000000,115171.99000000,115060.89000000,115137.34000000,32.77332000,2025-10-27T01:34:59Z
2025-10-27T01:35:00Z,115137.33000000,115366.66000000,115126.10000000,115324.51000000,110.47850000,2025-10-27T01:39:59Z
2025-10-27T01:40:00Z,115324.51000000,115324.51000000,115218.64000000,115224.96000000,60.81978000,2025-10-27T01:44:59Z
2025-10-27T01:45:00Z,115224.95000000,115359.84000000,115210.58000000,115338.00000000,54.03375000,2025-10-27T01:49:59Z
2025-10-27T01:50:00Z,115338.00000000,115388.96000000,115289.10000000,115294.46000000,49.40049000,2025-10-27T01:54:59Z
2025-10-27T01:55:00Z,115294.47000000,115327.21000000,115284.00000000,115284.01000000,41.73990000,2025-10-27T01:59:59Z
2025-10-27T02:00:00Z,115284.01000000,115332.00000000,115274.36000000,115305.74000000,66.48131000,2025-10-27T02:04:59Z
2025-10-27T02:05:00Z,115305.74000000,115445.39000000,115305.73000000,115411.08000000,120.25067000,2025-10-27T02:09:59Z
2025-10-27T02:10:00Z,115411.08000000,115442.13000000,115289.09000000,115289.10000000,33.09976000,2025-10-27T02:14:59Z
2025-10-27T02:15:00Z,115289.10000000,115289.10000000,115124.97000000,115184.86000000,97.37872000,2025-10-27T02:19:59Z
2025-10-27T02:20:00Z,115184.86000000,115184.86000000,115100.47000000,115144.00000000,82.46453000,2025-10-27T02:24:59Z
2025-10-27T02:25:00Z,115144.00000000,115226.87000000,114951.81000000,114966.14000000,62.32267000,2025-10-27T02:29:59Z
2025-10-27T02:30:00Z,114966.15000000,114975.48000000,114831.72000000,114837.66000000,73.00107000,2025-10-27T02:34:59Z
2025-10-27T02:35:00Z,114837.67000000,115007.50000000,114826.22000000,115007.50000000,51.55911000,2025-10-27T02:39:59Z
2025-10-27T02:40:00Z,115007.50000000,115070.51000000,114989.57000000,115029.61000000,71.82317000,2025-10-27T02:44:59Z
2025-10-27T02:45:00Z,115029.62000000,115049.98000000,114864.46000000,114907.55000000,54.28399000,2025-10-27T02:49:59Z
2025-10-27T02:50:00Z,114907.54000000,114976.37000000,114815.60000000,114817.13000000,92.44784000,2025-10-27T02:54:59Z
2025-10-27T02:55:00Z,114817.13000000,114924.40000000,114817.13000000,114883.39000000,21.14464000,2025-10-27T02:59:59Z
2025-10-27T03:00:00Z,114883.40000000,114973.50000000,114829.48000000,114973.50000000,34.84531000,2025-10-27T03:04:59Z
2025-10-27T03:05:00Z,114973.49000000,115032.77000000,114946.83000000,114948.01000000,27.31361000,2025-10-27T03:09:59Z
2025-10-27T03:10:00Z,114948.01000000,115137.95000000,114948.00000000,115080.62000000,58.05818000,2025-10-27T03:14:59Z
2025-10-27T03:15:00Z,115080.62000000,115177.55000000,115054.14000000,115136.88000000,37.81607000,2025-10-27T03:19:59Z
