open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2025-10-08 18:20:00+00:00,123774.28000000,123800.86000000,123565.38000000,123694.47000000,102.36148000,2025-10-08 18:24:59.999000+00:00,12658547.84589200,20768,48.06405000,5943439.77519230,0
2025-10-08 18:25:00+00:00,123694.47000000,123711.09000000,123610.00000000,123615.28000000,40.04248000,2025-10-08 18:29:59.999000+00:00,4951965.39704960,11377,20.96915000,2593091.50917970,0
2025-10-08 18:30:00+00:00,123615.27000000,123663.09000000,123510.69000000,123520.31000000,151.90921000,2025-10-08 18:34:59.999000+00:00,18771068.57625930,15441,116.35914000,14377787.53617080,0
2025-10-08 18:35:00+00:00,123520.31000000,123794.60000000,123415.58000000,123743.27000000,180.26198000,2025-10-08 18:39:59.999000+00:00,22267107.58466050,24681,131.50461000,16244238.24415590,0
2025-10-08 18:40:00+00:00,123743.27000000,123743.28000000,123500.00000000,123564.95000000,47.38027000,2025-10-08 18:44:59.999000+00:00,5858105.58968200,16045,19.71067000,2437221.63309750,0
2025-10-08 18:45:00+00:00,123564.95000000,123667.40000000,123516.23000000,123662.81000000,40.73638000,2025-10-08 18:49:59.999000+00:00,5035136.60578780,15640,26.96378000,3332894.03441190,0
2025-10-08 18:50:00+00:00,123662.82000000,123826.34000000,123628.07000000,123789.68000000,137.97225000,2025-10-08 18:54:59.999000+00:00,17068313.27573900,18084,114.83522000,14205709.31836720,0
2025-10-08 18:55:00+00:00,123789.68000000,123808.65000000,123460.21000000,123460.22000000,96.52464000,2025-10-08 18:59:59.999000+00:00,11930822.37984150,18703,28.22019000,3489192.86402200,0
2025-10-08 19:00:00+00:00,123460.21000000,123524.48000000,123366.00000000,123503.85000000,49.34294000,2025-10-08 19:04:59.999000+00:00,6090460.58269370,16100,22.06291000,2723483.66576250,0
2025-10-08 19:05:00+00:00,123503.86000000,123515.68000000,123220.96000000,123346.81000000,73.16479000,2025-10-08 19:09:59.999000+00:00,9024174.68153110,16630,21.10383000,2602534.04545200,0
2025-10-08 19:10:00+00:00,123346.81000000,123402.78000000,123260.00000000,123260.00000000,31.80296000,2025-10-08 19:14:59.999000+00:00,3922070.17952770,12298,8.95225000,1104112.83855530,0
2025-10-08 19:15:00+00:00,123260.01000000,123293.98000000,123160.82000000,123275.49000000,44.48040000,2025-10-08 19:19:59.999000+00:00,5481302.14245750,11076,18.96178000,2336808.44493320,0
2025-10-08 19:20:00+00:00,123275.50000000,123540.00000000,123243.82000000,123540.00000000,57.92792000,2025-10-08 19:24:59.999000+00:00,7150034.28528550,19046,32.27910000,3984616.72584990,0
2025-10-08 19:25:00+00:00,123539.99000000,123657.48000000,123539.99000000,123638.22000000,61.47013000,2025-10-08 19:29:59.999000+00:00,7597319.74153520,11668,21.05469000,2602246.09068800,0
2025-10-08 19:30:00+00:00,123638.23000000,123741.07000000,123597.55000000,123625.13000000,51.38010000,2025-10-08 19:34:59.999000+00:00,6355755.43881610,11321,32.55762000,4027517.38807940,0
2025-10-08 19:35:00+00:00,123625.12000000,123759.94000000,123617.56000000,123620.01000000,36.87860000,2025-10-08 19:39:59.999000+00:00,4562040.31082880,11018,21.12567000,2613461.72316740,0
2025-10-08 19:40:00+00:00,123620.01000000,123620.01000000,123400.00000000,123432.01000000,79.78989000,2025-10-08 19:44:59.999000+00:00,9853827.85974890,13338,38.52779000,4756856.34578940,0
2025-10-08 19:45:00+00:00,123432.01000000,123540.85000000,123414.00000000,123522.90000000,48.89709000,2025-10-08 19:49:59.999000+00:00,6038232.10751510,13003,29.71667000,3669604.57087580,0
2025-10-08 19:50:00+00:00,123522.90000000,123586.01000000,123460.21000000,123506.74000000,41.15204000,2025-10-08 19:54:59.999000+00:00,5083059.04441190,12217,14.26314000,1761745.62885540,0
2025-10-08 19:55:00+00:00,123506.75000000,123527.69000000,123409.51000000,123450.00000000,88.47302000,2025-10-08 19:59:59.999000+00:00,10923411.90235940,19022,36.85849000,4551000.94611160,0
2025-10-08 20:00:00+00:00,123450.01000000,123508.00000000,123313.82000000,123315.01000000,44.07914000,2025-10-08 20:04:59.999000+00:00,5439178.17501130,13335,13.22248000,1632039.33539370,0
2025-10-08 20:05:00+00:00,123315.01000000,123438.31000000,123315.01000000,123401.27000000,29.23966000,2025-10-08 20:09:59.999000+00:00,3607378.19349330,10216,11.06586000,1365108.48321040,0
2025-10-08 20:10:00+00:00,123401.26000000,123517.25000000,123401.26000000,123495.97000000,27.53895000,2025-10-08 20:14:59.999000+00:00,3400247.38038150,11770,18.40958000,2272895.15529350,0
